,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,age_bin,edu_bin,marital_bin,race_bin
51,47, Private,182264, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
52,18, Private,26438, Some-college,15, Never-married, Machine-op-inspct, Own-child, Other, Female,0,0,58, United-States, <=50K,<=30,high,not-married,Non-White
53,47, Private,185005, Bachelors,16, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K,31-60,high,married,Non-White
54,61, Private,97978, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,45, United-States, <=50K,61+,low,married,Non-White
55,28, Private,516951, 11th,7, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,10, United-States, <=50K,<=30,low,married,Non-White
56,35, State-gov,163732, Assoc-acdm,9, Separated, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
57,24, State-gov,207508, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
58,42, Private,199289, HS-grad,9, Divorced, Sales, Not-in-family, Black, Female,0,0,34, United-States, <=50K,31-60,low,not-married,Non-White
59,44, Private,203368, Some-college,10, Married-civ-spouse, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
60,30, Private,180036, HS-grad,10, Separated, Other-service, Unmarried, White, Female,0,0,58, Hong, <=50K,<=30,low,not-married,Non-White
61,40, Local-gov,116343, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K,31-60,high,married,Non-White
62,39, Private,178872, HS-grad,9, Divorced, Farming-fishing, Husband, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
63,44, Private,195034, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,61, United-States, >50K,31-60,high,married,Non-White
64,23, Private,206905, HS-grad,9, Divorced, Other-service, Not-in-family, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
65,46, Private,32403, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, Peru, >50K,31-60,high,not-married,Non-White
66,45, Private,216070, Bachelors,14, Separated, Adm-clerical, Not-in-family, White, Female,0,0,34, United-States, <=50K,31-60,high,not-married,Non-White
67,44, Local-gov,122654, HS-grad,9, Married-spouse-absent, ?, Husband, White, Female,0,0,40, United-States, <=50K,31-60,low,married,Non-White
68,30, Private,43057, Some-college,4, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, <=50K,<=30,low,married,Non-White
69,42, Local-gov,98178, HS-grad,7, Divorced, Prof-specialty, Unmarried, White, Female,0,0,45, United-States, <=50K,31-60,low,not-married,Non-White
70,27, Private,98522, HS-grad,9, Married-spouse-absent, Farming-fishing, Not-in-family, White, Female,0,0,59, United-States, <=50K,<=30,low,married,Non-White
71,28, Private,58058, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, Taiwan, <=50K,<=30,high,not-married,Non-White
72,36, Private,58726, Masters,13, Married-civ-spouse, Exec-managerial, Husband, White, Female,8285,0,65, United-States, >50K,31-60,high,married,Non-White
73,43, Private,285910, HS-grad,9, Married-civ-spouse, Protective-serv, Wife, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
74,49, Private,215857, HS-grad,4, Married-spouse-absent, Farming-fishing, Not-in-family, White, Female,0,0,40, United-States, <=50K,31-60,low,married,Non-White
75,45, Private,265630, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,0,0,35, United-States, <=50K,31-60,low,not-married,Non-White
76,49, Private,188732, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,45, United-States, <=50K,31-60,low,not-married,Non-White
77,45, Self-emp-not-inc,83476, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,17, United-States, <=50K,31-60,low,married,Non-White
78,26, Private,227624, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,40, United-States, <=50K,<=30,low,married,Non-White
79,29, State-gov,185259, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,99999,0,78, United-States, >50K,<=30,high,married,Non-White
80,31, Local-gov,115195, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, Trinadad&Tobago, <=50K,31-60,low,not-married,Non-White
81,38, Private,241491, Some-college,6, Married-spouse-absent, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
82,34, Local-gov,171703, Some-college,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
83,23, Private,347870, Some-college,9, Never-married, Craft-repair, Own-child, White, Male,0,0,21, United-States, <=50K,<=30,low,not-married,Non-White
84,23, Private,183379, Some-college,7, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K,<=30,low,not-married,Non-White
85,61, Self-emp-inc,155264, Bachelors,14, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,51, United-States, >50K,61+,high,married,Non-White
86,55, ?,182398, HS-grad,5, Separated, Handlers-cleaners, Not-in-family, White, Female,0,0,15, United-States, <=50K,31-60,low,not-married,Non-White
87,25, Private,139606, 11th,10, Never-married, Other-service, Other-relative, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
88,25, Private,94237, Assoc-voc,13, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States, <=50K,<=30,high,not-married,Non-White
89,20, Private,115794, 11th,7, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
90,22, Private,121204, 5th-6th,5, Never-married, Other-service, Not-in-family, Other, Female,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
91,47, Private,113594, HS-grad,9, Divorced, Protective-serv, Unmarried, White, Female,0,0,37, United-States, <=50K,31-60,low,not-married,Non-White
92,38, Private,98127, Bachelors,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, >50K,31-60,high,married,Non-White
93,42, Private,98838, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, Black, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
94,29, Private,116504, Bachelors,14, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,9, Italy, <=50K,<=30,high,not-married,Non-White
95,55, Local-gov,292208, Masters,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,62, United-States, >50K,31-60,high,married,Non-White
96,18, Private,50285, 9th,10, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,14, United-States, <=50K,<=30,low,not-married,Non-White
97,29, Private,187102, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,20, United-States, <=50K,<=30,low,married,Non-White
98,35, Self-emp-not-inc,237321, 10th,3, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,38, Dominican-Republic, >50K,31-60,low,not-married,Non-White
99,33, Private,175390, Some-college,5, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K,31-60,low,married,Non-White
100,17, Local-gov,51726, 7th-8th,9, Never-married, Sales, Unmarried, White, Female,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
101,42, Private,207285, HS-grad,6, Widowed, Adm-clerical, Unmarried, White, Female,0,0,50, United-States, <=50K,31-60,low,not-married,Non-White
102,57, Private,328439, HS-grad,9, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,13, United-States, <=50K,31-60,low,not-married,Non-White
103,42, Private,367020, Some-college,9, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
104,22, Self-emp-not-inc,344580, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K,<=30,low,married,Non-White
105,55, Local-gov,94970, HS-grad,10, Divorced, Other-service, Own-child, Asian-Pac-Islander, Male,0,0,24, United-States, <=50K,31-60,low,not-married,Non-White
106,41, Self-emp-not-inc,182020, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K,31-60,low,married,Non-White
107,46, Private,125240, 12th,9, Divorced, Machine-op-inspct, Other-relative, Amer-Indian-Eskimo, Female,0,0,9, Outlying-US(Guam-USVI-etc), <=50K,31-60,low,not-married,Non-White
108,50, ?,106427, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Male,0,0,48, Greece, <=50K,31-60,low,married,Non-White
109,36, Private,90825, Some-college,4, Married-civ-spouse, Priv-house-serv, Own-child, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
110,50, Self-emp-not-inc,182123, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K,31-60,low,married,Non-White
111,37, Private,346990, Bachelors,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,8987,0,85, United-States, >50K,31-60,high,married,Non-White
112,37, Private,192908, Assoc-voc,4, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,36, India, <=50K,31-60,low,married,Non-White
113,30, Private,188167, HS-grad,7, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
114,22, Private,116464, Some-college,12, Never-married, Adm-clerical, Own-child, White, Male,0,0,15, United-States, <=50K,<=30,high,not-married,Non-White
115,39, Private,170926, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,59, Taiwan, <=50K,31-60,low,married,Non-White
116,47, Private,183703, 11th,5, Never-married, ?, Other-relative, White, Male,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
117,18, Private,292622, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Male,0,0,45, United-States, <=50K,<=30,low,not-married,Non-White
118,50, Private,33234, HS-grad,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States, <=50K,31-60,low,married,Non-White
119,49, State-gov,111166, Prof-school,16, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Male,0,0,35, Cuba, >50K,31-60,high,married,Non-White
120,43, Private,178889, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K,31-60,high,married,Non-White
121,40, Private,179679, 5th-6th,6, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,0,40, ?, <=50K,31-60,low,married,Non-White
122,27, Private,152502, Bachelors,13, Divorced, ?, Unmarried, White, Female,0,0,40, United-States, <=50K,<=30,high,not-married,Non-White
123,44, Local-gov,277000, Preschool,9, Married-civ-spouse, ?, Husband, White, Male,6597,0,20, United-States, <=50K,31-60,low,married,Non-White
124,67, Private,188477, Masters,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K,61+,high,married,Non-White
125,43, Private,76628, Assoc-voc,9, Never-married, ?, Own-child, Other, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
126,21, Private,126473, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K,<=30,high,not-married,Non-White
127,56, Private,210276, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, Puerto-Rico, <=50K,31-60,low,not-married,Non-White
128,52, Private,109905, HS-grad,9, Separated, Adm-clerical, Not-in-family, Black, Female,0,0,10, Vietnam, <=50K,31-60,low,not-married,Non-White
129,31, Private,113840, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K,31-60,high,not-married,Non-White
130,32, Private,143366, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
131,61, Private,210136, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,58, United-States, >50K,61+,high,married,Non-White
132,31, Self-emp-inc,174640, Bachelors,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K,31-60,high,married,Non-White
133,42, Private,130889, Bachelors,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,58, Philippines, >50K,31-60,high,married,Non-White
134,66, Private,193055, Masters,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K,61+,high,married,Non-White
135,22, Private,185293, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K,<=30,low,not-married,Non-White
136,37, Private,190936, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,45, United-States, <=50K,31-60,low,not-married,Non-White
137,61, Private,64289, 7th-8th,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, Philippines, <=50K,61+,low,married,Non-White
138,24, State-gov,137277, 1st-4th,13, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K,<=30,high,not-married,Non-White
139,28, Private,190472, 11th,5, Divorced, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,40, Jamaica, <=50K,<=30,low,not-married,Non-White
140,56, Private,34388, 10th,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, Jamaica, <=50K,31-60,low,not-married,Non-White
141,39, Local-gov,190879, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,13, United-States, <=50K,31-60,low,not-married,Non-White
142,20, Private,341505, 10th,12, Divorced, Craft-repair, Other-relative, Other, Female,0,0,14, United-States, <=50K,<=30,high,not-married,Non-White
143,45, Private,437245, HS-grad,9, Married-civ-spouse, ?, Not-in-family, White, Male,0,0,17, United-States, <=50K,31-60,low,married,Non-White
144,23, ?,178338, 5th-6th,6, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
145,18, Self-emp-not-inc,190768, 11th,9, Never-married, Machine-op-inspct, Other-relative, White, Male,0,0,20, United-States, <=50K,<=30,low,not-married,Non-White
146,29, Local-gov,210392, HS-grad,9, Married-civ-spouse, Exec-managerial, Not-in-family, White, Female,0,0,75, Ireland, <=50K,<=30,low,married,Non-White
147,50, Private,116776, 9th,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
148,34, Private,98495, Bachelors,12, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K,31-60,high,not-married,Non-White
149,23, Private,124219, Some-college,7, Never-married, Sales, Own-child, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
150,17, Private,223703, Some-college,9, Separated, ?, Own-child, Black, Female,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
151,60, Private,346652, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,46, Mexico, <=50K,31-60,low,married,Non-White
152,50, Private,180160, 12th,9, Never-married, ?, Not-in-family, Black, Female,0,0,36, United-States, <=50K,31-60,low,not-married,Non-White
153,30, Private,174561, Assoc-acdm,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,37, United-States, <=50K,<=30,high,married,Non-White
154,43, Private,178637, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, United-States, <=50K,31-60,low,married,Non-White
155,42, Private,120234, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States, <=50K,31-60,low,not-married,Non-White
156,19, Private,207196, Some-college,10, Never-married, Craft-repair, Husband, White, Male,0,0,12, United-States, <=50K,<=30,low,not-married,Non-White
157,46, Private,70402, Some-college,6, Married-civ-spouse, Craft-repair, Husband, White, Female,0,0,40, United-States, <=50K,31-60,low,married,Non-White
158,46, Private,154911, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,60, United-States, >50K,31-60,high,married,Non-White
159,78, Private,196848, 5th-6th,10, Separated, Other-service, Not-in-family, White, Female,0,0,60, United-States, <=50K,61+,low,not-married,Non-White
160,41, Private,107490, 11th,13, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Thailand, <=50K,31-60,high,not-married,Non-White
161,37, Private,347724, 5th-6th,5, Never-married, Prof-specialty, Other-relative, White, Female,0,0,45, United-States, <=50K,31-60,low,not-married,Non-White
162,23, Private,202780, Some-college,4, Never-married, ?, Unmarried, Black, Female,0,0,34, United-States, <=50K,<=30,low,not-married,Non-White
163,41, Private,279012, Bachelors,16, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,51, ?, >50K,31-60,high,married,Non-White
164,63, Private,374949, 10th,8, Divorced, Priv-house-serv, Not-in-family, Black, Male,0,0,40, Nicaragua, <=50K,61+,low,not-married,Non-White
165,23, Private,43418, HS-grad,6, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,37, United-States, <=50K,<=30,low,not-married,Non-White
166,48, Private,165072, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K,31-60,low,married,Non-White
167,20, Private,160196, Some-college,10, Married-AF-spouse, Farming-fishing, Own-child, White, Male,0,0,34, United-States, <=50K,<=30,low,married,Non-White
168,46, Local-gov,113657, Bachelors,15, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Puerto-Rico, <=50K,31-60,high,not-married,Non-White
169,46, Private,369961, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
170,24, Self-emp-not-inc,177771, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K,<=30,low,married,Non-White
171,40, Private,185400, Masters,11, Married-civ-spouse, Transport-moving, Husband, White, Female,0,0,45, Mexico, <=50K,31-60,high,married,Non-White
172,45, Private,175251, Prof-school,13, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,59, United-States, >50K,31-60,high,married,Non-White
173,18, Private,170400, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,14, United-States, <=50K,<=30,low,not-married,Non-White
174,58, Self-emp-inc,127564, Doctorate,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,71, United-States, >50K,31-60,low,married,Non-White
175,22, Private,105334, 11th,10, Never-married, ?, Own-child, White, Male,0,0,26, United-States, <=50K,<=30,low,not-married,Non-White
176,62, Self-emp-not-inc,338704, 1st-4th,5, Married-spouse-absent, Sales, Not-in-family, Black, Female,0,0,36, United-States, <=50K,61+,low,married,Non-White
177,44, Private,309014, HS-grad,10, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K,31-60,low,married,Non-White
178,37, Private,421430, HS-grad,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1835,56, United-States, >50K,31-60,high,married,Non-White
179,55, State-gov,186659, Prof-school,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,4934,0,50, Jamaica, >50K,31-60,high,married,Non-White
180,45, Local-gov,60482, Assoc-acdm,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,9223,0,59, United-States, >50K,31-60,high,married,Non-White
181,54, Private,166437, 11th,10, Never-married, ?, Own-child, White, Male,0,0,50, United-States, <=50K,31-60,low,not-married,Non-White
182,30, Private,180801, Bachelors,6, Never-married, Other-service, Own-child, White, Male,0,0,56, United-States, <=50K,<=30,low,not-married,Non-White
183,41, Private,202808, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K,31-60,high,not-married,Non-White
184,19, Private,238654, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,37, United-States, <=50K,<=30,high,not-married,Non-White
185,37, Self-emp-not-inc,207239, HS-grad,9, Separated, Other-service, Other-relative, White, Female,0,0,40, Cambodia, <=50K,31-60,low,not-married,Non-White
186,44, Private,182977, 7th-8th,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K,31-60,low,married,Non-White
187,48, Private,165629, 5th-6th,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K,31-60,low,married,Non-White
