,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,age_bin,edu_bin,marital_bin,race_bin
21,43, Private,214055, 1st-4th,9, Separated, Transport-moving, Not-in-family, White, Female,0,1,40, United-States, <=50K,31-60,low,not-married,Non-White
22,47, Private,28657, Assoc-voc,12, Married-civ-spouse, Sales, Husband, White, Male,4,2,45, United-States, >50K,31-60,high,married,Non-White
23,54, Private,134866, Some-college,9, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,8,0,34, United-States, <=50K,31-60,low,married,Non-White
24,54, Private,229504, HS-grad,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K,31-60,low,married,Non-White
25,53, Private,222957, 7th-8th,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,40, ?, <=50K,31-60,high,married,Non-White
26,56, Self-emp-not-inc,109826, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,1,51, Nicaragua, >50K,31-60,low,married,Non-White
27,39, Private,131110, HS-grad,9, Divorced, Craft-repair, Wife, White, Female,1,1,40, United-States, <=50K,31-60,low,not-married,Non-White
28,31, Local-gov,184266, Bachelors,12, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,3383,0,40, United-States, <=50K,31-60,high,married,Non-White
29,56, Private,396056, Masters,13, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Male,0,0,48, United-States, >50K,31-60,high,married,Non-White
30,20, Private,375153, Bachelors,13, Never-married, ?, Own-child, White, Female,0,0,50, United-States, <=50K,<=30,high,not-married,Non-White
31,17, Private,101303, HS-grad,7, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
32,28, Private,96018, Doctorate,4, Married-civ-spouse, Farming-fishing, Wife, White, Male,0,0,40, Thailand, >50K,<=30,low,married,Non-White
33,53, Private,109682, 9th,4, Widowed, Other-service, Unmarried, Other, Female,0,0,40, Haiti, <=50K,31-60,low,not-married,Non-White
34,37, Private,80543, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
35,27, Private,308933, 11th,11, Married-civ-spouse, Sales, Husband, White, Male,0,0,63, United-States, <=50K,<=30,high,married,Non-White
36,59, Private,197044, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,2,9, United-States, >50K,31-60,high,married,Non-White
37,64, Private,208062, Some-college,9, Married-civ-spouse, Transport-moving, Husband, White, Female,12,0,51, United-States, <=50K,61+,low,married,Non-White
38,62, Private,160890, Masters,15, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, Japan, >50K,61+,high,married,Non-White
39,47, Self-emp-not-inc,38327, Bachelors,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,4,1,51, United-States, >50K,31-60,high,married,Non-White
40,43, State-gov,144136, Prof-school,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,1679,59, United-States, >50K,31-60,high,married,Non-White
41,43, Private,27287, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,3,48, Philippines, >50K,31-60,high,married,Non-White
42,45, Private,152846, Assoc-acdm,11, Married-spouse-absent, Sales, Wife, White, Female,17,0,40, Mexico, <=50K,31-60,high,married,Non-White
43,65, Private,149950, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Female,0,1,40, United-States, <=50K,61+,low,married,Non-White
44,38, Private,238998, HS-grad,10, Never-married, Other-service, Other-relative, Black, Female,4062,0,17, United-States, <=50K,31-60,low,not-married,Non-White
45,39, Self-emp-not-inc,375996, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
46,21, Private,378287, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
47,34, Private,114662, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,18,0,40, United-States, <=50K,31-60,low,married,Non-White
48,48, Private,262345, Masters,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,40, United-States, >50K,31-60,high,married,Non-White
49,23, Private,180714, Some-college,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,49, United-States, <=50K,<=30,low,married,Non-White
50,24, Private,26862, Bachelors,3, Never-married, Adm-clerical, Not-in-family, White, Male,11,0,76, United-States, >50K,<=30,low,not-married,Non-White
51,31, Private,81237, Bachelors,6, Never-married, Exec-managerial, Own-child, White, Male,0,2169,40, United-States, >50K,31-60,low,not-married,Non-White
52,18, Private,180277, 7th-8th,10, Widowed, Other-service, Not-in-family, Amer-Indian-Eskimo, Female,0,0,34, ?, <=50K,<=30,low,not-married,Non-White
53,37, Private,37114, Some-college,12, Never-married, Exec-managerial, Own-child, White, Male,0,0,45, United-States, <=50K,31-60,high,not-married,Non-White
54,53, Private,94196, Some-college,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,17,1,40, Philippines, <=50K,31-60,high,married,Non-White
55,40, Private,43331, HS-grad,9, Married-spouse-absent, Other-service, Not-in-family, White, Female,0,2,40, United-States, <=50K,31-60,low,married,Non-White
56,60, Private,141284, 1st-4th,6, Separated, Handlers-cleaners, Not-in-family, Black, Female,0,1,40, Japan, <=50K,31-60,low,not-married,Non-White
57,35, Private,107646, Preschool,9, Divorced, Protective-serv, Unmarried, White, Male,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
58,30, Private,211520, Some-college,9, Never-married, Craft-repair, Not-in-family, White, Male,0,1,40, United-States, <=50K,<=30,low,not-married,Non-White
59,48, State-gov,95905, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,2,32, United-States, <=50K,31-60,low,not-married,Non-White
60,38, Private,254801, Some-college,10, Married-civ-spouse, ?, Not-in-family, White, Male,0,0,17, Greece, <=50K,31-60,low,married,Non-White
61,55, Private,125067, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,49, United-States, >50K,31-60,high,married,Non-White
62,30, ?,112293, HS-grad,9, Divorced, ?, Not-in-family, White, Female,0,0,12, United-States, <=50K,<=30,low,not-married,Non-White
63,39, Private,203518, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7622,2,50, United-States, >50K,31-60,high,married,Non-White
64,55, Private,32187, Bachelors,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,39,0,60, United-States, >50K,31-60,high,married,Non-White
65,25, Private,211659, Some-college,9, Never-married, Sales, Other-relative, White, Male,0,0,40, Hong, <=50K,<=30,low,not-married,Non-White
66,42, Private,95578, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K,31-60,high,married,Non-White
67,20, ?,183490, HS-grad,10, Never-married, ?, Own-child, White, Male,0,1,20, United-States, <=50K,<=30,low,not-married,Non-White
68,38, Self-emp-not-inc,104360, Masters,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,49, ?, >50K,31-60,high,married,Non-White
69,46, Private,280231, HS-grad,11, Never-married, Adm-clerical, Unmarried, White, Female,2420,1,40, United-States, <=50K,31-60,high,not-married,Non-White
70,35, Local-gov,247221, Bachelors,13, Never-married, ?, Own-child, White, Male,0,1,40, Guatemala, <=50K,31-60,high,not-married,Non-White
71,64, Private,424274, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,38, China, <=50K,61+,low,not-married,Non-White
72,40, Private,89514, Bachelors,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K,31-60,high,married,Non-White
73,46, Local-gov,37068, HS-grad,13, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,48, United-States, <=50K,31-60,high,not-married,Non-White
74,21, Private,83331, 5th-6th,9, Married-civ-spouse, ?, Husband, White, Male,6,0,40, United-States, <=50K,<=30,low,married,Non-White
75,38, Private,245744, 5th-6th,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K,31-60,low,married,Non-White
76,48, Private,215593, HS-grad,9, Married-civ-spouse, ?, Wife, White, Female,0,1,40, United-States, <=50K,31-60,low,married,Non-White
77,82, Private,203029, HS-grad,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,28, United-States, <=50K,61+,low,married,Non-White
78,21, Private,197859, Some-college,6, Never-married, Craft-repair, Own-child, White, Male,0,0,18, United-States, <=50K,<=30,low,not-married,Non-White
79,36, Private,171462, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,14520,1,50, United-States, >50K,31-60,high,married,Non-White
80,38, Private,161044, 7th-8th,9, Married-civ-spouse, Craft-repair, Not-in-family, White, Female,0,0,34, Honduras, >50K,31-60,low,married,Non-White
81,48, Private,354956, Bachelors,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,51, Dominican-Republic, <=50K,31-60,high,married,Non-White
82,37, Private,191586, Masters,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,7,0,40, United-States, >50K,31-60,high,married,Non-White
83,26, Private,103590, HS-grad,10, Never-married, ?, Own-child, White, Male,0,0,33, United-States, <=50K,<=30,low,not-married,Non-White
84,50, Private,177929, Bachelors,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,7375,1,59, United-States, >50K,31-60,high,married,Non-White
85,35, Private,191498, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,14553,0,51, United-States, >50K,31-60,high,married,Non-White
86,33, Private,138471, 10th,9, Married-civ-spouse, Other-service, Wife, White, Male,0,2,40, Cuba, >50K,31-60,low,married,Non-White
87,25, Private,185880, 12th,7, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
88,41, Private,109886, Some-college,14, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,50, United-States, <=50K,31-60,high,married,Non-White
89,41, Self-emp-inc,34138, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,14402,3,60, United-States, >50K,31-60,high,married,Non-White
90,60, Private,191863, Doctorate,11, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Male,33,1,40, United-States, <=50K,31-60,high,not-married,Non-White
91,57, Private,33107, Bachelors,14, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1,50, ?, >50K,31-60,high,married,Non-White
92,48, Private,116870, Prof-school,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2109,40, Mexico, >50K,31-60,high,married,Non-White
93,41, ?,144951, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,34,0,40, United-States, <=50K,31-60,low,married,Non-White
94,34, Private,197272, Bachelors,13, Married-civ-spouse, Prof-specialty, Own-child, White, Female,14,0,17, Cambodia, >50K,31-60,high,married,Non-White
95,36, Private,316848, Bachelors,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, ?, <=50K,31-60,high,married,Non-White
96,17, Local-gov,113740, 9th,9, Never-married, Sales, Other-relative, Black, Female,0,0,49, Cuba, <=50K,<=30,low,not-married,Non-White
97,42, Private,115663, Masters,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,40,3,51, United-States, <=50K,31-60,high,married,Non-White
98,45, Private,102572, 9th,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,8, Vietnam, <=50K,31-60,low,married,Non-White
99,39, Private,37539, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
100,42, Private,334836, Prof-school,12, Married-civ-spouse, Sales, Husband, White, Male,2,0,40, United-States, >50K,31-60,high,married,Non-White
101,31, Federal-gov,326736, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K,31-60,high,not-married,Non-White
102,50, Private,180529, HS-grad,14, Married-spouse-absent, Sales, Wife, White, Female,0,0,36, United-States, <=50K,31-60,high,married,Non-White
103,50, Private,228221, HS-grad,9, Married-spouse-absent, Prof-specialty, Unmarried, White, Male,0,0,22, Vietnam, <=50K,31-60,low,married,Non-White
104,18, Private,180012, 5th-6th,12, Never-married, Exec-managerial, Own-child, White, Male,0,0,19, United-States, <=50K,<=30,high,not-married,Non-White
105,45, Private,146343, Masters,16, Married-civ-spouse, Craft-repair, Husband, White, Male,27,0,40, United-States, >50K,31-60,high,married,Non-White
106,61, State-gov,334508, Bachelors,9, Never-married, Other-service, Unmarried, White, Female,0,0,34, United-States, <=50K,61+,low,not-married,Non-White
107,46, Self-emp-not-inc,235479, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,2,40, Outlying-US(Guam-USVI-etc), >50K,31-60,high,married,Non-White
108,55, Local-gov,224971, Assoc-voc,4, Divorced, Exec-managerial, Wife, Black, Female,0,1,73, Trinadad&Tobago, <=50K,31-60,low,not-married,Non-White
109,40, Private,200631, Assoc-voc,10, Never-married, Tech-support, Not-in-family, Other, Male,0,0,68, United-States, <=50K,31-60,low,not-married,Non-White
110,28, Self-emp-inc,266851, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,5,1,40, Iran, >50K,<=30,high,married,Non-White
111,18, Private,343133, 10th,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
112,28, Private,189985, HS-grad,9, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,9,1,51, Mexico, <=50K,<=30,low,married,Non-White
113,29, Private,205751, 11th,4, Married-civ-spouse, Sales, Own-child, White, Female,0,0,48, United-States, <=50K,<=30,low,married,Non-White
114,33, Self-emp-inc,94450, Masters,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,8131,0,59, United-States, >50K,31-60,high,married,Non-White
115,34, Self-emp-inc,210696, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,1951,40, United-States, <=50K,31-60,low,married,Non-White
116,27, Private,543600, 5th-6th,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,3,40, Scotland, >50K,<=30,low,married,Non-White
117,40, Federal-gov,108253, Some-college,10, Never-married, Craft-repair, Husband, White, Male,3,0,28, United-States, <=50K,31-60,low,not-married,Non-White
118,23, Self-emp-not-inc,181333, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K,<=30,low,married,Non-White
119,35, Private,39799, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Female,0,0,40, Nicaragua, <=50K,31-60,low,not-married,Non-White
120,27, Local-gov,220557, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, ?, >50K,<=30,high,married,Non-White
121,82, Private,142046, HS-grad,9, Never-married, Other-service, Unmarried, Black, Female,0,4,40, ?, <=50K,61+,low,not-married,Non-White
122,38, Federal-gov,45521, 1st-4th,10, Married-civ-spouse, Prof-specialty, Wife, White, Male,6879,0,45, United-States, >50K,31-60,low,married,Non-White
123,66, ?,311203, Some-college,6, Never-married, Prof-specialty, Own-child, White, Male,14,1,21, United-States, <=50K,61+,low,not-married,Non-White
124,36, Private,31260, HS-grad,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States, >50K,31-60,low,married,Non-White
125,39, ?,34861, 12th,9, Widowed, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,2245,37, United-States, <=50K,31-60,low,not-married,Non-White
126,23, Private,113563, Bachelors,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K,<=30,high,not-married,Non-White
127,46, Private,606468, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,8,5,45, Germany, <=50K,31-60,low,not-married,Non-White
128,33, Private,233753, Some-college,9, Never-married, Other-service, Own-child, Black, Female,0,0,40, Japan, <=50K,31-60,low,not-married,Non-White
129,60, Private,208975, HS-grad,7, Married-spouse-absent, Transport-moving, Not-in-family, White, Female,3,0,20, United-States, <=50K,31-60,low,married,Non-White
130,23, State-gov,206034, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,50, United-States, >50K,<=30,low,married,Non-White
131,65, Private,165850, Bachelors,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,4,59, Philippines, >50K,61+,high,married,Non-White
132,29, Private,141670, HS-grad,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K,<=30,high,not-married,Non-White
133,36, Private,233294, Prof-school,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,49, Canada, <=50K,31-60,high,married,Non-White
134,59, Private,440323, HS-grad,10, Married-civ-spouse, Transport-moving, Husband, White, Male,1,1,40, United-States, >50K,31-60,low,married,Non-White
135,30, Private,120432, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7374,3,50, United-States, >50K,<=30,high,married,Non-White
136,23, Private,165611, Some-college,10, Widowed, ?, Own-child, White, Male,2869,2,40, United-States, <=50K,<=30,low,not-married,Non-White
137,39, Private,216506, 9th,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K,31-60,low,not-married,Non-White
138,48, Private,167987, Assoc-voc,16, Married-civ-spouse, Exec-managerial, Husband, White, Male,7086,0,40, ?, >50K,31-60,high,married,Non-White
139,23, Private,188511, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, El-Salvador, <=50K,<=30,low,not-married,Non-White
140,44, Private,182965, 7th-8th,3, Divorced, ?, Unmarried, Black, Female,0,0,37, United-States, <=50K,31-60,low,not-married,Non-White
141,38, Private,252151, Masters,11, Divorced, Protective-serv, Wife, White, Female,0,1562,40, United-States, <=50K,31-60,high,not-married,Non-White
142,34, Private,258915, Masters,12, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,4,0,51, United-States, >50K,31-60,high,married,Non-White
143,35, Private,153477, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,3,27, United-States, <=50K,31-60,low,not-married,Non-White
144,59, Private,234508, 11th,9, Never-married, Craft-repair, Wife, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
145,18, ?,111218, Some-college,7, Never-married, Other-service, Own-child, White, Male,0,0,19, United-States, <=50K,<=30,low,not-married,Non-White
146,28, Private,188548, Prof-school,7, Separated, Craft-repair, Not-in-family, White, Male,0,1723,45, Nicaragua, <=50K,<=30,low,not-married,Non-White
147,41, Private,348325, Assoc-acdm,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,9,0,48, United-States, >50K,31-60,high,married,Non-White
148,33, Local-gov,358706, Assoc-acdm,10, Never-married, Sales, Not-in-family, Other, Female,2599,1,52, United-States, <=50K,31-60,low,not-married,Non-White
149,41, Private,106062, Bachelors,4, Married-civ-spouse, Protective-serv, Husband, White, Male,2,0,40, El-Salvador, >50K,31-60,low,married,Non-White
150,34, Private,186099, Some-college,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K,31-60,high,married,Non-White
151,62, State-gov,190173, HS-grad,9, Married-civ-spouse, Tech-support, Husband, Black, Female,0,0,48, United-States, <=50K,61+,low,married,Non-White
152,47, Private,247931, Masters,11, Married-civ-spouse, Prof-specialty, Husband, White, Female,7007,1,48, United-States, >50K,31-60,high,married,Non-White
153,46, Private,177333, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,2981,0,40, Germany, <=50K,31-60,high,not-married,Non-White
154,62, Private,195791, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, Cambodia, <=50K,61+,low,married,Non-White
155,60, Local-gov,277395, Masters,10, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,63, United-States, >50K,31-60,low,married,Non-White
156,62, Private,117928, Assoc-acdm,10, Never-married, Sales, Own-child, White, Male,0,0,8, United-States, <=50K,61+,low,not-married,Non-White
157,47, Private,178305, Assoc-voc,4, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
158,44, Private,114373, HS-grad,4, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
159,44, Private,32835, Assoc-acdm,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
160,54, ?,219771, Some-college,9, Widowed, Transport-moving, Not-in-family, Black, Female,2577,0,30, Thailand, <=50K,31-60,low,not-married,Non-White
161,55, State-gov,37697, 11th,12, Widowed, Transport-moving, Not-in-family, White, Female,2357,1,7, United-States, <=50K,31-60,high,not-married,Non-White
162,23, Private,255390, HS-grad,7, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
163,37, Private,30844, HS-grad,9, Widowed, Other-service, Unmarried, Black, Female,7279,0,51, United-States, <=50K,31-60,low,not-married,Non-White
164,38, Private,185287, Assoc-voc,12, Married-civ-spouse, Craft-repair, Wife, White, Male,9,1,40, Guatemala, <=50K,31-60,high,married,Non-White
165,51, Private,175296, 5th-6th,10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0,0,40, Canada, <=50K,31-60,low,married,Non-White
166,24, Private,244264, HS-grad,7, Never-married, Other-service, Own-child, White, Female,14,0,22, United-States, <=50K,<=30,low,not-married,Non-White
167,52, ?,217355, Bachelors,13, Married-AF-spouse, Prof-specialty, Husband, White, Male,8,0,40, ?, <=50K,31-60,high,married,Non-White
168,20, Private,48788, Some-college,6, Never-married, Other-service, Other-relative, White, Female,9,0,35, ?, <=50K,<=30,low,not-married,Non-White
169,58, Self-emp-inc,44163, Some-college,10, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
170,37, State-gov,202239, Bachelors,3, Never-married, Transport-moving, Unmarried, White, Male,37,0,51, United-States, <=50K,31-60,low,not-married,Non-White
171,68, Private,147797, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1,59, United-States, >50K,61+,low,married,Non-White
172,43, Private,186730, Masters,11, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K,31-60,high,not-married,Non-White
173,34, Self-emp-inc,180005, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1,50, United-States, >50K,31-60,high,married,Non-White
174,73, Federal-gov,194869, Masters,9, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K,61+,low,married,Non-White
175,42, Private,103750, HS-grad,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0,0,40, Canada, <=50K,31-60,low,married,Non-White
176,38, Private,35722, Some-college,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2173,40, United-States, >50K,31-60,high,married,Non-White
177,25, Federal-gov,48723, Bachelors,10, Never-married, Other-service, Husband, White, Male,0,0,60, United-States, <=50K,<=30,low,not-married,Non-White
178,32, Local-gov,357271, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
179,41, Private,109584, HS-grad,9, Widowed, Other-service, Unmarried, White, Male,3,0,40, United-States, <=50K,31-60,low,not-married,Non-White
180,60, Private,166240, 9th,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,6,0,40, United-States, <=50K,31-60,low,married,Non-White
181,19, Private,503883, Some-college,9, Never-married, Other-service, Own-child, White, Male,0,0,22, United-States, <=50K,<=30,low,not-married,Non-White
182,29, Private,44326, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Female,7,0,40, United-States, <=50K,<=30,low,married,Non-White
183,40, Private,361444, 9th,14, Married-civ-spouse, Sales, Unmarried, White, Male,0,0,10, United-States, <=50K,31-60,high,married,Non-White
184,41, Private,132061, Doctorate,6, Divorced, Exec-managerial, Unmarried, White, Female,0,0,34, United-States, <=50K,31-60,low,not-married,Non-White
185,70, Private,136329, Some-college,10, Widowed, Exec-managerial, Unmarried, White, Female,0,0,40, Yugoslavia, >50K,61+,low,not-married,Non-White
186,44, Private,222143, Assoc-voc,13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,31, United-States, <=50K,31-60,high,married,Non-White
187,66, Private,44791, Assoc-acdm,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,1,51, United-States, <=50K,61+,high,not-married,Non-White
188,19, Private,198309, Assoc-acdm,10, Never-married, Adm-clerical, Not-in-family, Other, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
189,54, Local-gov,225731, 11th,9, Widowed, Machine-op-inspct, Own-child, White, Male,2,0,20, United-States, <=50K,31-60,low,not-married,Non-White
